类别,子类别,英文情景对话,中文翻译
餐饮美食类,外卖,"Emma: Hello, could I order delivery, please?
Jack: Sure. What would you like to order?
Emma: One fried rice and one spring roll set, please.
Jack: Got it. What's your delivery address?
Emma: 15 Park Street, Building 3, Room 502.
Jack: Great. Your order will arrive in about 30 minutes.
Emma: It's been 50 minutes. Where is my order?
Jack: Let me check. I'm sorry, the rider is stuck in heavy rain. Another 10 minutes.
Emma: I'm really hungry. Okay, please hurry.
Jack: Thank you for your patience.
Emma: Hmm, this is not what I ordered — I got noodles instead of fried rice.
Jack: I'm so sorry! We'll send the correct order right away, free. You can keep the noodles.
Emma: That's very kind. Thank you.","艾玛：你好，我可以点外卖吗？
杰克：当然。您想点什么？
艾玛：一份炒饭和一份春卷套餐。
杰克：好的。您的送餐地址是？
艾玛：公园街15号，3栋502室。
杰克：好的。您的订单大约30分钟后送达。
艾玛：已经50分钟了，我的外卖到哪了？
杰克：我查一下。抱歉，骑手遇上大雨堵在路上，还要再等10分钟。
艾玛：我都饿死了。好吧，请快点。
杰克：感谢您的耐心。
艾玛：咦，这不是我点的——我收到的是面条，不是炒饭。
杰克：非常抱歉！我们马上免费重送一份对的，面条您留着吃。
艾玛：你们真好，谢谢。"
医疗健康类,医院就诊,"Emma: Hello, I'd like to make an appointment with a doctor.
Jack: Sure. What seems to be the problem?
Emma: I have a fever and a sore throat.
Jack: How long have you had these symptoms?
Emma: Since yesterday.
Jack: Okay, I'll book you for Dr. Chen at 3 p.m. today. Please arrive 15 minutes early.
Emma: Can I use my insurance here?
Jack: Yes, please bring your insurance card.
Emma: (after seeing the doctor) Hi, I'm here to pick up my medicine.
Jack: Let me check. I'm sorry, this antibiotic is out of stock today.
Emma: What? Then what should I do?
Jack: The doctor prescribed a substitute. Here, take this one instead.
Emma: Will it work the same?
Jack: Yes, it's equivalent. Take it three times a day after meals.
Emma: Thank you. Where do I pay?
Jack: At window 2. Feel better soon.","艾玛：你好，我想预约看医生。
杰克：好的。您哪里不舒服？
艾玛：我发烧而且嗓子疼。
杰克：这些症状持续多久了？
艾玛：从昨天开始的。
杰克：好的，我给您约今天下午3点陈医生的号，请提前15分钟到。
艾玛：这里能用我的保险吗？
杰克：可以，来的时候请带上保险卡。
艾玛：（看完医生后）你好，我来取药。
杰克：我查一下。抱歉，这种抗生素今天没货了。
艾玛：什么？那我怎么办？
杰克：医生开了替代药。给，改吃这种。
艾玛：药效一样吗？
杰克：一样的，是等效药物。请一天三次饭后服用。
艾玛：谢谢。在哪里缴费？
杰克：2号窗口。早日康复。"
医疗健康类,急救,"Emma: Help! Call an ambulance, please!
Jack: Stay calm. What's your location?
Emma: 20 Garden Street, in front of the supermarket.
Jack: Got it. Is the patient conscious?
Emma: Yes, but he has chest pain.
Jack: An ambulance is on its way. Keep him lying still.
Emma: Thank you so much. How long will it take?
Jack: About five minutes. Please stay with him and keep him calm.
Emma: (at ER) Hi, we've waited 30 minutes and he's getting worse.
Jack: I'm sorry. We're very short-staffed today. Let me triage him now.
Emma: His pain is spreading to his left arm!
Jack: I see the urgency. Follow me — he goes straight into treatment.
Emma: Thank you.
Jack: No need. Go with him.","艾玛：救命！请叫救护车！
杰克：请保持冷静。您在哪里？
艾玛：花园街20号，超市门口。
杰克：明白了。病人有意识吗？
艾玛：有意识，但他胸口疼。
杰克：救护车已经在路上了，让他保持平躺别动。
艾玛：太感谢了。救护车多久能到？
杰克：大约五分钟，请陪着他，让他保持平静。
艾玛：（在急诊室）你好，我们已经等了30分钟，他情况越来越糟。
杰克：抱歉，我们今天人手非常紧。我这就给他分诊。
艾玛：他的疼痛蔓延到左臂了！
杰克：情况紧急，跟我来——他直接进治疗室。
艾玛：谢谢你。
杰克：不用谢，陪他进去吧。"
医疗健康类,体检,"Emma: Hello, I'd like to have a medical check-up.
Jack: Sure. Basic or comprehensive package?
Emma: The comprehensive one. Do I need to fast before the blood test?
Jack: Yes, don't eat or drink for at least 8 hours before your appointment.
Emma: Got it. When can I get the results?
Jack: In about three working days. We'll call you.
Emma: Do I need to bring anything else?
Jack: Just your ID card. The check-up takes about an hour.
Emma: Hi, I'm here to get my results.
Jack: Let me pull them up. I'm afraid your fasting blood sugar is higher than normal.
Emma: Oh no, is it serious?
Jack: It's borderline. Please see a doctor to confirm. We'll schedule a free follow-up test.
Emma: Thank you for letting me know.
Jack: You're welcome. Keep a normal diet and avoid sweets.","艾玛：你好，我想做一次体检。
杰克：好的。您要基础套餐还是全面套餐？
艾玛：全面的。抽血前需要空腹吗？
杰克：需要，请预约前至少8小时不要进食饮水。
艾玛：明白了。结果什么时候能出来？
杰克：大约三个工作日，我们会电话通知您。
艾玛：还需要带别的吗？
杰克：带身份证就行。体检大约需要一个小时。
艾玛：你好，我来取报告。
杰克：我调一下。您的空腹血糖偏高。
艾玛：哎呀，严重吗？
杰克：处于临界值。请去看医生确认一下，我们可以免费安排一次复查。
艾玛：谢谢你告诉我。
杰克：不客气。保持正常饮食，少吃甜食。"
通讯&公共服务类,打电话,"Emma: Hello, this is Li speaking. Could I speak to Mr. Wang, please?
Jack: I'm sorry, he's in a meeting right now. Would you like to leave a message?
Emma: Yes, could you tell him I called? I'll call back later.
Jack: Sure. May I have your number?
Emma: It's 138-1234-5678. Thanks.
Jack: No problem. I'll pass the message on.
Emma: (calling back) Hi, it's Li again. Sorry, my phone died mid-call last time.
Jack: No problem. I said the meeting is moved to 3 p.m.
Emma: The line is bad. Could you say that again?
Jack: Sure. The meeting is moved to 3 p.m., not 2 p.m.
Emma: Got it. We got cut off — can you hear me now?
Jack: Yes, loud and clear. See you at 3.
Emma: Great, thanks.","艾玛：你好，我是小李。请找王先生接电话好吗？
杰克：抱歉，他正在开会。您需要留言吗？
艾玛：好的，请告诉他我来过电话，我稍后再打。
杰克：好的。能留一下您的号码吗？
艾玛：我的号码是138-1234-5678，谢谢。
杰克：没问题，我会转告他。
艾玛：（回拨）你好，我是小李。抱歉，刚才通话中我手机关机了。
杰克：没关系。我说会议改到下午3点了。
艾玛：信号不好，能再说一遍吗？
杰克：好的，会议改到下午3点，不是2点。
艾玛：明白了。我们断了——现在能听到吗？
杰克：能，现在很清楚。3点见。
艾玛：好的，谢谢。"
通讯&公共服务类,邮局,"Emma: Hello, I'd like to send this parcel to China.
Jack: Sure. What's inside, please?
Emma: Some books and clothes. How much is the postage?
Jack: Let me weigh it. It'll be 15 dollars by airmail.
Emma: How long will it take to arrive?
Jack: About 7 to 10 days.
Emma: Okay, I'd like to send it by airmail then.
Jack: Sure. Please fill in this form.
Emma: Is there insurance for this parcel?
Jack: Basic insurance is included. You can add more if it's valuable.
Emma: Hi, I'm following up on a parcel I sent last month. It still hasn't arrived.
Jack: Let me check the tracking. It shows it's stuck at customs. I'm sorry.
Emma: Could it be lost?
Jack: Let me open a trace case. If it's confirmed lost, insurance covers up to 200 dollars.
Emma: I hope it shows up. Thank you.
Jack: We'll contact you within a week.","艾玛：你好，我想把这个包裹寄到中国。
杰克：好的。里面装的是什么？
艾玛：一些书和衣服。邮费是多少？
杰克：我来称一下。航空邮寄15美元。
艾玛：多久能寄到？
杰克：大约7到10天。
艾玛：好的，那我寄航空件。
杰克：好的，请填写这张表单。
艾玛：这个包裹有保险吗？
杰克：已含基础保险，如果物品贵重可以加保。
艾玛：你好，我来查上个月寄的一个包裹，还没到。
杰克：我查一下物流。显示卡在海关了，很抱歉。
艾玛：会不会是丢了？
杰克：我帮您开一个查询单。如果确认丢失，保险最多赔付200美元。
艾玛：希望能找到。谢谢你。
杰克：我们一周内会联系您。"
通讯&公共服务类,银行,"Emma: Hello, I'd like to open a bank account.
Jack: Certainly. May I see your passport and proof of address?
Emma: Here you are. I'd also like to exchange some US dollars.
Jack: No problem. How much would you like to exchange?
Emma: 500 dollars. What's today's exchange rate?
Jack: It's 7.1 yuan to the dollar.
Emma: Could you check my account balance?
Jack: Sure. Your balance is 2,300 dollars.
Emma: Great, thank you.
Emma: Hi, I just tried to withdraw from the ATM, but it kept my card.
Jack: Don't worry. Please fill out this form, and I'll retrieve it for you.
Emma: That happened right after the machine printed an error receipt.
Jack: The system logged the jam. Your card will be ready in 10 minutes.
Emma: Thank you.
Jack: You're welcome. Anything else?","艾玛：你好，我想开一个银行账户。
杰克：好的。请出示您的护照和地址证明。
艾玛：给您。我还想兑换一些美元。
杰克：没问题。您想兑换多少？
艾玛：500美元。今天的汇率是多少？
杰克：1美元兑7.1元人民币。
艾玛：能帮我查一下账户余额吗？
杰克：好的。您的余额是2300美元。
艾玛：好的，谢谢。
艾玛：你好，我刚在ATM取钱，卡被吞了。
杰克：别担心，请填这张表，我帮您取出来。
艾玛：机器打印了一张错误凭条之后就卡住了。
杰克：系统记录了这次吞卡。您的卡10分钟后可取。
艾玛：谢谢。
杰克：不客气，还有别的事吗？"
通讯&公共服务类,营业厅,"Emma: Hi, I'd like to get a local SIM card.
Jack: Sure. Which plan, monthly or pay-as-you-go?
Emma: Monthly, please. How much data does it include?
Jack: It includes 10 GB of data per month.
Emma: Great. Could you help me top up my phone?
Jack: Of course. How much would you like to add?
Emma: 20 dollars.
Jack: Done. Anything else?
Emma: Actually, my phone can't connect to the internet.
Jack: Let me check the settings. It should work now.
Emma: It works now. Thank you!
Emma: Hi, I'm almost out of data, and it's only the 10th.
Jack: I see — you've used 12 GB this month. You've gone over the limit.
Emma: What happens now?
Jack: Your speed is throttled. You can buy a 5 GB pack for 10 dollars.
Emma: Sure, please add it.
Jack: Done. Have a nice day!","艾玛：你好，我想办一张本地手机卡。
杰克：好的。您要月租套餐还是预付费卡？
艾玛：月租的。这个套餐包含多少流量？
杰克：每月包含10GB流量。
艾玛：好的。能帮我给手机充值吗？
杰克：当然。您要充多少？
艾玛：20美元。
杰克：充好了。还有别的吗？
艾玛：对了，我的手机连不上网。
杰克：我帮您检查一下设置。现在应该可以了。
艾玛：能上网了，谢谢！
艾玛：你好，我流量快用完了，可才10号。
杰克：我看一下——您这个月已经用了12GB，超出了限额。
艾玛：那会怎么样？
杰克：网速会被限制。您可以加购一个5GB的流量包，10美元。
艾玛：好的，帮我加上。
杰克：好了，祝您愉快！"
旅游观光类,游客中心,"Emma: Hello, could I have a map of the city?
Jack: Of course, here you are. It's free.
Emma: Thanks. What are the must-see attractions here?
Jack: I'd recommend the old town and the seaside park. Both are within walking distance.
Emma: Is there a guided tour available?
Jack: Yes, there's a walking tour every morning at 9 a.m. Would you like to book a spot?
Emma: Yes, please. Two spots.
Jack: Great. That'll be 40 yuan in total.
Emma: What if it rains tomorrow?
Jack: The walking tour will be postponed to the next day.
Emma: Hi, I'm here for the 9 a.m. tour — it's pouring outside. Is it still on?
Jack: I'm sorry, the tour is cancelled because of the storm. The path is too slippery.
Emma: Can I get a refund?
Jack: Yes, the full amount will go back to your card in three days.
Emma: Okay, thank you. Is there any indoor activity instead?
Jack: Yes, the city museum is free today. Here's the address.","艾玛：你好，能给我一张城市地图吗？
杰克：当然，给您，这是免费的。
艾玛：谢谢。这里有哪些必去的景点？
杰克：我推荐老城区和海滨公园，都在步行范围内。
艾玛：有导游讲解服务吗？
杰克：有的，每天早上9点有徒步导览。您要预订一个位置吗？
艾玛：好的，要两个位置。
杰克：好的，一共40元。
艾玛：明天下雨怎么办？
杰克：徒步导览会顺延到第二天。
艾玛：你好，我来参加9点的导览——外面下大雨，还照常吗？
杰克：抱歉，因为暴风雨，导览取消了。山路太滑。
艾玛：可以退款吗？
杰克：可以，全额会在三天内退回您的卡。
艾玛：好的，谢谢。有什么室内活动可以代替吗？
杰克：有的，城市博物馆今天免费开放，这是地址。"
旅游观光类,景区门票,"Emma: Two adult tickets, please.
Jack: That'll be 120 yuan. Do you have any student ID?
Emma: No, we don't. What time does the museum close?
Jack: It closes at 6 p.m. The last entry is at 5:30.
Emma: Got it. Are there any discounts for seniors?
Jack: Yes, seniors over 65 get a half-price ticket.
Emma: Is there a family ticket?
Jack: Yes, two adults and two kids for 300 yuan.
Emma: Wait, I saw an online deal — 99 per ticket, not 60.
Jack: The online price requires booking 24 hours in advance. At the door, it's 60.
Emma: Oh, okay. Also, I think you overcharged me — I gave 150 but got back 20.
Jack: Let me recount. You're right. Here's 30 back. I'm sorry about that.
Emma: Thanks.
Jack: Enjoy your visit!","艾玛：请给我两张成人票。
杰克：一共120元。您有学生证吗？
艾玛：没有。博物馆几点关门？
杰克：下午6点关门，最晚5点半入场。
艾玛：好的。老人有优惠吗？
杰克：有的，65岁以上老人半价。
艾玛：有家庭票吗？
杰克：有的，两名成人加两名儿童共300元。
艾玛：等等，我刚在网上看到有优惠票——每张99，不是60。
杰克：网上价格需要提前24小时预订。现场买是60元。
艾玛：哦，好的。另外，你好像找错钱了——我给了150，只找了20。
杰克：我再算一下。您说得对，这是找您的30元，抱歉。
艾玛：谢谢。
杰克：祝您参观愉快！"
旅游观光类,问路,"Emma: Excuse me, how do I get to the station?
Jack: Go straight ahead and turn left at the second traffic light.
Emma: Is it far from here?
Jack: No, about a ten-minute walk. Or take Bus 5 for two stops.
Emma: Could you show me on the map?
Jack: Sure. We're here, and the station is here, next to the big mall.
Emma: Thank you so much!
Emma: (later) Sorry, I think I'm lost. I walked 20 minutes and still don't see the mall.
Jack: Which way did you go?
Emma: I turned left at the second light.
Jack: Oh, that street is closed today for the parade. Go back to the first light and turn right instead.
Emma: Thank goodness I asked. I would've walked forever.
Jack: No problem. Follow me — I'm heading that way anyway.","艾玛：请问去火车站怎么走？
杰克：一直往前走，在第二个红绿灯左转。
艾玛：离这里远吗？
杰克：不远，步行大约十分钟。也可以坐5路公交坐两站。
艾玛：能在地图上指给我看吗？
杰克：当然。我们在这里，火车站在这里，就在大商场旁边。
艾玛：非常感谢！
艾玛：（过了一会儿）不好意思，我好像迷路了。走了20分钟还没看到商场。
杰克：您怎么走的？
艾玛：我在第二个红绿灯左转了。
杰克：哦，那条街今天因为游行封路了。您回到第一个红绿灯，改右转。
艾玛：幸好问了一下，不然我得一直走下去。
杰克：不客气，跟我走吧——我正好也往那边去。"
旅游观光类,博物馆,"Emma: Hello, do you have an audio guide in Chinese?
Jack: Yes, we do. It's 30 yuan with a deposit.
Emma: Great. Can I take photos here?
Jack: In most halls yes, but please turn off the flash in the exhibition rooms.
Emma: Got it. How long is the audio guide?
Jack: About one and a half hours. Enjoy your visit!
Emma: Where can I leave my bag?
Jack: At the cloakroom near the entrance. Large bags aren't allowed inside.
Emma: Uh, my bag is a bit large. Is there a size limit?
Jack: Yes, anything over 30 by 40 cm must be checked. It's free.
Emma: Okay, I'll check it.
Emma: Excuse me, I think I dropped my audio guide somewhere.
Jack: Don't worry. Let me radio security. What does it look like?
Emma: It's black with a yellow strap.
Jack: Found it at Hall 3. Come collect it at the front desk.
Emma: Thank you so much.","艾玛：你好，有中文语音导览吗？
杰克：有的，30元，需要押金。
艾玛：好的。这里可以拍照吗？
杰克：大部分展厅可以，但展厅内请关闭闪光灯。
艾玛：明白了。语音导览有多长？
杰克：大约一个半小时。祝您参观愉快！
艾玛：我在哪里可以寄存包？
杰克：入口附近有存包处，大包不能带进馆内。
艾玛：呃，我的包有点大，有尺寸限制吗？
杰克：有的，超过30×40厘米的包必须寄存，免费。
艾玛：好的，我去存。
艾玛：你好，我好像把语音导览器弄丢了。
杰克：别担心，我用对讲机通知保安。它长什么样？
艾玛：黑色的，有黄色挂绳。
杰克：在3号厅找到了，请到前台来取。
艾玛：太感谢了。"
旅游观光类,导游沟通,"Emma: What time do we meet tomorrow morning?
Jack: We'll meet at the hotel lobby at 8 a.m. sharp.
Emma: How long is the tour?
Jack: About six hours, with a lunch break included.
Emma: Could we stop for lunch at a local restaurant?
Jack: Sure, I've already arranged a nice local place for us.
Emma: What should I bring for the tour?
Jack: Comfortable shoes and an umbrella, just in case.
Emma: Great. See you tomorrow!
Jack: See you tomorrow. Don't be late!
Emma: (next morning) Hi, I think one member of our group is missing.
Jack: Which one?
Emma: Mr. Wang from Room 308. He didn't get on the bus.
Jack: Let me call the hotel. He's still in the lobby, he overslept. I'll wait 10 more minutes.
Emma: Thank you. Also, the forecast says heavy rain — will we still do the mountain hike?
Jack: Good question. If it rains heavily, I'll swap it for the indoor old town tour.","艾玛：明天早上几点集合？
杰克：明早8点整在酒店大堂集合。
艾玛：行程多长时间？
杰克：大约6小时，包含午餐休息时间。
艾玛：我们能在一家本地餐厅吃午饭吗？
杰克：当然，我已经安排好了一家不错的本地餐厅。
艾玛：行程需要带什么？
杰克：舒适的鞋和一把伞，以防万一。
艾玛：太好了，明天见！
杰克：明天见，别迟到哦！
艾玛：（第二天早上）你好，我们团好像少了一个人。
杰克：哪一位？
艾玛：308房的王先生，他没上车。
杰克：我打电话给酒店。他还在大堂，睡过头了。我再等10分钟。
艾玛：谢谢。另外，天气预报说有大雨——我们还去爬山吗？
杰克：问得好。如果雨很大，我会换成室内老城区游览。"
工作职场类,面试,"Emma: Good morning. Please have a seat. Tell me about yourself.
Jack: Good morning. I'm Li, an electrician with five years of experience in industrial wiring.
Emma: How many years of experience do you have?
Jack: Five years. I've worked on both residential and commercial projects.
Emma: What certifications do you hold?
Jack: I have a Level 3 electrician certificate and a low-voltage operation permit.
Emma: Have you ever been involved in a workplace safety incident?
Jack: Once, another worker forgot to cut the power. I stopped the work immediately, and no one was hurt.
Emma: That's exactly the caution we look for.
Jack: Thank you.
Emma: What hourly rate do you expect?
Jack: Around 25 dollars per hour.
Emma: Do you have any questions for us?
Jack: What's the overtime policy?
Emma: Overtime is paid 1.5 times the hourly rate.
Jack: That sounds fair. When can I start?
Emma: You can start next Monday.","艾玛：早上好，请坐。请介绍一下你自己。
杰克：早上好。我是小李，一名电工，有五年工业布线经验。
艾玛：你有多少年电工工作经验？
杰克：五年，住宅和商业项目都做过。
艾玛：你持有哪些证书？
杰克：我有三级电工证和低压电工作业操作证。
艾玛：你有没有遇到过工地安全事故？
杰克：有一次，另一个工人忘记关电。我立刻叫停了作业，没有人受伤。
艾玛：这正是我们需要的谨慎。
杰克：谢谢。
艾玛：你期望的时薪是多少？
杰克：大约每小时25美元。
艾玛：你有什么想问我们的吗？
杰克：加班是怎么规定的？
艾玛：加班按1.5倍时薪支付。
杰克：很合理。我什么时候可以开始？
艾玛：下周一就可以。"
工作职场类,入职,"Emma: Welcome aboard! Please sign the contract here.
Jack: Thanks. Let me read it first.
Emma: Sure, take your time.
Jack: Where do I get my uniform and tools?
Emma: The equipment room is on the first floor. Report to Mr. Chen there.
Jack: Great. When does safety training start?
Emma: Tomorrow morning at 9. Please bring two ID photos.
Jack: Uh, I only brought one photo today.
Emma: No problem. Bring the second one tomorrow. We have spare copies here.
Jack: Thank you. Do you provide safety boots?
Emma: Yes, we'll issue them with the uniform.
Jack: Perfect. See you tomorrow.
Emma: See you tomorrow. Welcome to the team.","艾玛：欢迎入职！请在这里签合同。
杰克：谢谢，我先看一下。
艾玛：好的，慢慢看。
杰克：我在哪里领工服和工具？
艾玛：工具房在一楼，去那里找陈师傅报到。
杰克：好的。安全培训什么时候开始？
艾玛：明早9点，请带两张证件照。
杰克：呃，我今天只带了一张。
艾玛：没关系，明天带第二张就行。我们这儿有备用复印。
杰克：谢谢。你们提供安全鞋吗？
艾玛：提供，会和工服一起发放。
杰克：太好了，明天见。
艾玛：明天见，欢迎加入团队。"
工作职场类,现场工作沟通,"Emma: I need to check the circuit breaker first. Where is the main switch?
Jack: It's in the distribution box on the ground floor.
Emma: Got it. Please make sure the power is off before working.
Jack: Done. The power is off. We can work safely now.
Emma: This wire needs to be replaced.
Jack: Okay. How long will it take?
Emma: About an hour. I'll let you know when it's done.
Jack: I'll wait. Tell me if you need anything.
Emma: Uh, the multimeter shows live voltage. Did we really cut the power?
Jack: Let me check. No, I cut the wrong breaker. The live wire is still on.
Emma: That's dangerous. Step back — I'll lock out the correct switch now.
Jack: Sorry, that was my mistake.
Emma: It's okay, but always double-check with the tester before touching any wire.
Jack: I will. By the way, we don't have this type of wire in stock.
Emma: Can you order it? How long will it take?
Jack: About two days. We'll continue then.
Emma: Okay, I'll inform the foreman.","艾玛：我需要先检查断路器。总开关在哪里？
杰克：在一楼配电箱里。
艾玛：明白了。工作前请确保电源已切断。
杰克：已经切断了，现在可以安全工作。
艾玛：这根电线需要更换。
杰克：好的。需要多长时间？
艾玛：大约一个小时，完工我会通知你。
杰克：我在这儿等着，需要什么尽管说。
艾玛：咦，万用表显示还有电压。我们真的关电了吗？
杰克：我查一下。不对，我拉错闸了。这根带电的线还通着电。
艾玛：很危险。退后——我现在去把正确的开关锁死。
杰克：抱歉，是我的失误。
艾玛：没关系，但碰任何线之前一定要用测电笔确认。
杰克：我会的。对了，这种电线我们没库存了。
艾玛：能订购吗？需要多久？
杰克：大约两天，到时候我们再继续施工。
艾玛：好的，我会通知工头。"
工作职场类,与客户沟通,"Emma: Hello, what seems to be the problem?
Jack: The kitchen light keeps flickering, and one socket doesn't work.
Emma: Let me take a look. The repair will cost about 200 dollars including parts.
Jack: That's fine. But last time someone fixed this and it broke again after a week.
Emma: I understand your frustration. My repair has a six-month warranty, so I'll come back free if it fails.
Jack: That's reassuring.
Emma: I'll fix it right away.
Jack: Great. Let me know when it's done.
Emma: It's all fixed now. You can turn the power back on.
Jack: Perfect, it works! Wait, the bill says 250, but you said 200.
Emma: The extra 50 is for a faulty breaker I had to replace. Here's the part receipt.
Jack: Oh, I see. That's fair. How would you like to pay?
Emma: Card is fine.","艾玛：你好，出了什么问题？
杰克：厨房的灯一直闪，还有一个插座没电。
艾玛：我来看一下。维修加零件大约200美元。
杰克：可以，请开始吧。不过上次有人修过，结果一周后又坏了。
艾玛：我理解您的恼火。这次维修有六个月保修期，再坏我免费上门。
杰克：那就放心了。
艾玛：我马上修好。
杰克：好的，修好了请告诉我。
艾玛：已经修好了，您可以合上电闸了。
杰克：太好了，能用啦！等等，账单上写的是250，你刚才说的是200。
艾玛：多出的50是因为我换了一个坏了的断路器。这是零件收据。
杰克：哦，明白了，合理。您怎么付款？
艾玛：刷卡就行。"
工作职场类,同事日常,"Emma: Could you help me with this task?
Jack: Sure, what do you need?
Emma: I'm going to take my lunch break now.
Jack: No problem, I'll keep an eye on the site.
Emma: Thanks. Could I take a day off next Monday?
Jack: I think so, just submit a leave request to the foreman.
Emma: Could you cover my shift tomorrow afternoon?
Jack: Sure, I can do that. Just send me the details.
Emma: Hey, the drill just stopped working mid-job.
Jack: Let me see. The battery's dead. There's a spare one in the toolbox.
Emma: Thanks. Also, I might need a sick day tomorrow — my throat is killing me.
Jack: Go rest. I'll cover for you, no problem.
Emma: Thanks, I owe you one.
Jack: No worries, that's what teammates are for.","艾玛：你能帮我做这个任务吗？
杰克：可以，需要做什么？
艾玛：我现在去吃午饭。
杰克：没问题，我看着现场。
艾玛：谢谢。下周一我能请一天假吗？
杰克：应该可以，跟工头提交一份请假申请就行。
艾玛：明天下午你能帮我顶班吗？
杰克：可以，把细节发给我就行。
艾玛：喂，电钻干到一半停了。
杰克：我看看。电池没电了。工具箱里有备用电池。
艾玛：谢谢。另外，我明天可能得请病假——嗓子疼死了。
杰克：去休息吧，我替你，没问题。
艾玛：谢谢，欠你个人情。
杰克：没事，队友嘛。"
工作职场类,工地安全,"Emma: Safety first. Wear your helmet at all times.
Jack: Got it. I've put mine on already.
Emma: Put on your safety gloves and goggles before handling the wires.
Jack: Okay, I'll get them right away.
Emma: This area is dangerous. Keep out.
Jack: Understood. We'll work from the other side.
Emma: There's a warning sign missing over there.
Jack: I'll put one up right now.
Jack: Ouch! I just scraped my arm on that sharp metal edge.
Emma: Are you okay? Let me see. It's a small cut. Let's get the first-aid kit.
Jack: It stings a bit.
Emma: That's why we require long sleeves on site. Let me clean and bandage it.
Jack: Sorry, I'll roll my sleeves down from now on.
Emma: Also, report it to the foreman so we can file an incident report.","艾玛：安全第一，请全程佩戴安全帽。
杰克：明白，我已经戴好了。
艾玛：接触电线前请戴上安全手套和护目镜。
杰克：好的，我马上去拿。
艾玛：这个区域很危险，请勿进入。
杰克：明白了，我们改从另一边施工。
艾玛：那边少了一块警示牌。
杰克：我马上补一块。
杰克：哎哟！我胳膊刚被那片锋利的金属边划到了。
艾玛：你没事吧？我看看。小伤口，我们去拿急救箱。
杰克：有点刺疼。
艾玛：所以工地要求穿长袖。我来帮你清洗包扎一下。
杰克：抱歉，以后我把袖子放下来。
艾玛：另外，跟工头报备一下，我们要填一份事故记录。"
学习&社会交往类,初次见面,"Emma: Hi, nice to meet you. I'm Li.
Jack: Nice to meet you too. I'm Sam.
Emma: Where are you from?
Jack: I'm from Sydney. What about you?
Emma: I'm from China. I just moved here.
Jack: Welcome! Let me know if you need any help.
Emma: Thank you.
Jack: Are you here for work or study?
Emma: I'm here for work. I'm an electrician.
Jack: Oh cool. Uh, sorry, what was your name again? I didn't catch it.
Emma: It's Li. L-I.
Jack: Sorry about that, Li. Nice to meet you!
Emma: Nice to meet you too, Sam.","艾玛：你好，很高兴认识你。我是小李。
杰克：我也很高兴认识你，我是萨姆。
艾玛：你来自哪里？
杰克：我来自悉尼。你呢？
艾玛：我来自中国，刚搬到这里。
杰克：欢迎！有需要帮忙的尽管说。
艾玛：谢谢。
杰克：你是来工作的还是来学习的？
艾玛：我是来工作的，我是电工。
杰克：哦，挺好。呃，抱歉，你叫什么名字来着？我刚才没听清。
艾玛：我姓李，L-I。
杰克：不好意思，小李。很高兴认识你！
艾玛：我也很高兴认识你，萨姆。"
学习&社会交往类,日常闲聊,"Emma: How's the weather today?
Jack: It's sunny and warm, perfect for a walk.
Emma: What do you do for a living?
Jack: I'm a nurse. What about you?
Emma: I'm an electrician.
Jack: Cool. Do you have any hobbies?
Emma: I like fishing on weekends.
Jack: That sounds relaxing! How long have you lived here?
Emma: About five years. I really like this city.
Jack: Same here. Uh oh — look at those clouds. It's going to pour.
Emma: Really? I didn't bring an umbrella.
Jack: Me neither. Let's make a run for that café over there.
Emma: Good idea. We can talk again when the rain stops.","艾玛：今天天气怎么样？
杰克：晴朗温暖，很适合散步。
艾玛：你是做什么工作的？
杰克：我是护士。你呢？
艾玛：我是电工。
杰克：很棒。你有什么爱好吗？
艾玛：我喜欢周末钓鱼。
杰克：听起来很放松！你在这里住多久了？
艾玛：大约五年了，我很喜欢这座城市。
杰克：我也是。哎呀——看那些云，要下大雨了。
艾玛：真的吗？我没带伞。
杰克：我也没带。我们快跑到那家咖啡馆吧。
艾玛：好主意，等雨停了再聊。"
学习&社会交往类,邀约,"Emma: Are you free this weekend?
Jack: Yes, I should be free on Saturday.
Emma: Would you like to have dinner with me?
Jack: I'd love to. Let's meet at seven at the café.
Emma: Sounds good. Should I book the table?
Jack: Yes, please book it for seven under my name.
Emma: (Saturday afternoon) Hi, something came up at work. Can we push dinner to 7:30?
Jack: No problem. I'll update the reservation.
Emma: Thank you. Actually, a family emergency just popped up. Can we rain-check it?
Jack: Of course, no rush. Let's do it next weekend instead.
Emma: I really appreciate it. Sorry again.
Jack: Don't worry about it. Family comes first.","艾玛：这周末你有空吗？
杰克：有空，周六应该可以。
艾玛：你愿意和我一起吃晚饭吗？
杰克：我很乐意。我们7点在咖啡馆见吧。
艾玛：好的。需要我订位吗？
杰克：好的，请以我的名义订7点的位子。
艾玛：（周六下午）你好，工作上有点事。我们能把晚饭改到7点半吗？
杰克：没问题，我去更新预订。
艾玛：谢谢。其实……家里突然有点急事，我们能改天吗？
杰克：当然，不急。下周再约吧。
艾玛：真的很感谢，再次抱歉。
杰克：别放在心上，家里的事要紧。"
